Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6623310229	12.1311941147	-0.0494225100
0.6623889012	12.6508932114	-0.1200720668
0.6624467723	13.0741510391	-0.1746684760
0.6625046434	13.5094833374	-0.2282039821
0.6625625004	13.9687242508	-0.2819391191
0.6626203905	14.3376626968	-0.3231631517
0.6626782461	14.7153253555	-0.3636456132
0.6627361194	15.1175165176	-0.4049276710
0.6627939771	15.4560060501	-0.4382681549
0.6628518437	15.7918930054	-0.4701343775
0.6629097275	16.1491680145	-0.5027480721
0.6629675972	16.4388580322	-0.5282570124
0.6630254510	16.7301979065	-0.5530953407
0.6630833339	17.0619735718	-0.5804179907
0.6631412100	17.3191795349	-0.6009165645
0.6631990611	17.5809745789	-0.6211871505
0.6632569484	17.8843345642	-0.6439493895
0.6633148108	18.1202907562	-0.6611307263
0.6633726710	18.3449764252	-0.6770774126
0.6634305555	18.5938873291	-0.6942842007
0.6634884307	18.8214015961	-0.7096006274
0.6635463141	19.0666961670	-0.7256853580
0.6636041572	19.3431243896	-0.7432934046
0.6636620246	19.5577774048	-0.7565978765
0.6637198948	19.6929035187	-0.7648116946
0.6637777884	19.8778400421	-0.7758550048
0.6638356401	20.1021175385	-0.7889462113
0.6638935209	20.3593750000	-0.8035658002
0.6639513884	20.5785064697	-0.8156930208
0.6640092571	20.7409172058	-0.8244923949
0.6640671328	20.9189109802	-0.8339551687
0.6641249877	21.1460323334	-0.8457607627
0.6641828603	21.3075523376	-0.8539768457
0.6642407275	21.4271621704	-0.8599666953
0.6642986126	21.5911464691	-0.8680501580
0.6643564657	21.7524185181	-0.8758574128
0.6644143424	21.9084281921	-0.8832778335
0.6644722136	22.0625019073	-0.8904808760
0.6645300749	22.1827507019	-0.8960173726
0.6645879584	22.3015079498	-0.9014130831
0.6646458160	22.4708919525	-0.9089866281
0.6647037058	22.6385498047	-0.9163437486
0.6647615720	22.7565631866	-0.9214407206
0.6648194323	22.8856105804	-0.9269381762
0.6648773038	23.0253868103	-0.9328044057
0.6649351861	23.1368732452	-0.9374183416
0.6649930370	23.2529602051	-0.9421622157
0.6650509081	23.3815078735	-0.9473443627
0.6651087871	23.4894828796	-0.9516403079
0.6651666652	23.5951786041	-0.9557958245
0.6652245296	23.7198333740	-0.9606343508
0.6652823933	23.8156166077	-0.9643069506
0.6653402579	23.8971424103	-0.9674021602
0.6653981282	24.0364055634	-0.9726248980
0.6654560147	24.1467018127	-0.9767042994
0.6655138853	24.2590885162	-0.9808098674
0.6655717569	24.3516273499	-0.9841520786
0.6656296148	24.4588356018	-0.9879812598
0.6656874971	24.5775794983	-0.9921695590
0.6657453537	24.7015438080	-0.9964833260
0.6658032628	24.8134040833	-1.0003252029
0.6658611049	24.9127044678	-1.0036958456
0.6659189879	25.0200328827	-1.0072973967
0.6659768617	25.1034107208	-1.0100656748
0.6660347201	25.1573543549	-1.0118430853
0.6660925710	25.1613712311	-1.0119750500
0.6661504433	25.2253780365	-1.0140693188
0.6662083224	25.3577365875	-1.0183529854
0.6662661869	25.4853725433	-1.0224244595
0.6663240663	25.5951213837	-1.0258795023
0.6663819368	25.6826953888	-1.0286062956
0.6664398031	25.7741699219	-1.0314263105
0.6664976668	25.8632183075	-1.0341441631
0.6665555302	25.9495601654	-1.0367537737
0.6666134154	26.0471134186	-1.0396722555
0.6666712789	26.1204624176	-1.0418459177
0.6667291683	26.1774139404	-1.0435214043
0.6667870311	26.2490615845	-1.0456142426
0.6668448969	26.3135852814	-1.0474847555
0.6669027577	26.3589267731	-1.0487911701
0.6669606373	26.4170703888	-1.0504568815
0.6670184925	26.4782886505	-1.0521990061
0.6670763598	26.5292911530	-1.0536414385
0.6671342460	26.5826015472	-1.0551403761
0.6671921170	26.6568145752	-1.0572123528
0.6672499695	26.7310981750	-1.0592691898
0.6673078584	26.8030452728	-1.0612452030
0.6673657094	26.8666381836	-1.0629786253
0.6674235893	26.9085197449	-1.0641136169
0.6674814512	26.9507198334	-1.0652518272
0.6675393263	27.0158061981	-1.0669969320
0.6675972087	27.0205898285	-1.0671247244
0.6676550667	26.9674797058	-1.0657024384
0.6677129273	26.9743080139	-1.0658857822
0.6677708154	27.1081962585	-1.0694525242
0.6678286839	27.2393836975	-1.0728962421
0.6678865367	27.3357734680	-1.0753946304
0.6679444513	27.3910560608	-1.0768154860
0.6680022781	27.4425659180	-1.0781315565
0.6680601635	27.5132064819	-1.0799242258
0.6681180506	27.5776271820	-1.0815467834
0.6681758983	27.6445426941	-1.0832198858
0.6682337714	27.7306804657	-1.0853554010
0.6682916337	27.7927913666	-1.0868825912
0.6683495076	27.8321971893	-1.0878460407
