Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6603410988	0.0128165074	NaN
0.6603989796	0.0128780333	NaN
0.6604568470	0.0125690820	NaN
0.6605147076	0.0124531174	NaN
0.6605725757	0.0122729763	NaN
0.6606304587	0.0121623268	NaN
0.6606883151	0.0119742258	NaN
0.6607461947	0.0118910195	NaN
0.6608040618	0.0117206275	NaN
0.6608619303	0.0114856232	NaN
0.6609198212	0.0113298427	NaN
0.6609776696	0.0115011130	NaN
0.6610355450	0.0110740494	NaN
0.6610934030	0.0108802188	NaN
0.6611512885	0.0107492292	NaN
0.6612091536	0.0105301822	NaN
0.6612670230	0.0103961006	3.5363116264
0.6613248833	0.0103642400	3.5363287926
0.6613827814	0.0102177709	3.5364077091
0.6614406333	0.0099934265	3.5365285873
0.6614984883	0.0098159900	3.5366241932
0.6615563690	0.0096323630	3.5367231369
0.6616142290	0.0095584700	3.5367629528
0.6616721193	0.0093301600	3.5368859768
0.6617299883	0.0092213163	3.5369446278
0.6617878558	0.0089885900	3.5370700359
0.6618457076	0.0090815034	3.5370199680
0.6619035801	0.0088279862	3.5371565819
0.6619614688	0.0087010087	3.5372250080
0.6620193261	0.0085284645	3.5373179913
0.6620772018	0.0083293794	3.5374252796
0.6621350766	0.0082479771	3.5374691486
0.6621929523	0.0079843085	3.5376112461
0.6622507964	0.0079559954	3.5376265049
0.6623086693	0.0077564805	3.5377340317
0.6623665569	0.0076635811	3.5377840996
0.6624244105	0.0073769274	3.5379385948
0.6624822923	0.0074078925	3.5379219055
0.6625401699	0.0072729732	3.5379946232
0.6625980273	0.0071774251	3.5380461216
0.6626559035	0.0069956207	3.5381441116
0.6627137581	0.0069730612	3.5381562710
