Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.5864058805	1.3177475929	2.8807501793
0.5864637254	1.3848612309	2.8496007919
0.5865215964	1.2144144773	2.9291670322
0.5865794907	1.0720351934	2.9967973232
0.5866373484	0.9639298320	3.0488677025
0.5866952209	0.8979868889	3.0809388161
0.5867530795	0.8528925776	3.1030061245
0.5868109594	0.7800572515	3.1388833523
0.5868688360	0.6962670088	3.1805179119
0.5869267026	0.5865274668	3.2356367111
0.5869845873	0.5024124384	3.2783429623
0.5870424279	0.4356289506	3.3125355244
0.5871003005	0.4101060927	3.3256702423
0.5871581812	0.3340740204	3.3650200367
0.5872160501	0.2855662107	3.3902993202
0.5872739127	0.2203065753	3.4245245457
0.5873317798	0.1922020614	3.4393405914
0.5873896639	0.2364846766	3.4160168171
0.5874475250	0.1724801660	3.4497652054
0.5875054051	0.1371200383	3.4685132504
0.5875632744	0.1305561811	3.4720015526
0.5876211481	0.1270279139	3.4738776684
0.5876790204	0.1168472394	3.4792952538
0.5877368839	0.1038620472	3.4862141609
0.5877947516	0.1007263958	3.4878864288
0.5878526235	0.0919515863	3.4925692081
0.5879104880	0.0903240889	3.4934382439
0.5879683588	0.0864706188	3.4954965115
0.5880262250	0.0791663751	3.4994003773
0.5880840971	0.0784248635	3.4997968674
0.5881419688	0.0729213879	3.5027406216
0.5881998518	0.0726754218	3.5028722286
0.5882577174	0.0664808005	3.5061879158
0.5883155988	0.0647368133	3.5071218014
0.5883734500	0.0639466345	3.5075449944
0.5884313202	0.0598227940	3.5097541809
0.5884891998	0.0569644533	3.5112860203
0.5885470562	0.0559690297	3.5118196011
0.5886049482	0.0540674478	3.5128390789
0.5886628063	0.0523547642	3.5137574673
0.5887206753	0.0521618202	3.5138609409
0.5887785522	0.0483708866	3.5158944130
0.5888364321	0.0467908010	3.5167422295
0.5888942913	0.0433978476	3.5185632706
0.5889521418	0.0432921462	3.5186200142
0.5890100353	0.0425500311	3.5190184116
0.5890678816	0.0405012146	3.5201184750
0.5891257617	0.0398139395	3.5204875469
0.5891836291	0.0376263745	3.5216624737
0.5892415113	0.0372633114	3.5218575001
0.5892993735	0.0363122262	3.5223684311
0.5893572523	0.0358231850	3.5226311684
0.5894151184	0.0349751972	3.5230867863
0.5894729946	0.0337439552	3.5237483978
0.5895308643	0.0332284383	3.5240254402
0.5895887228	0.0331135392	3.5240871906
0.5896465969	0.0316150859	3.5248925686
0.5897044596	0.0310677569	3.5251867771
0.5897623272	0.0304255504	3.5255320072
0.5898201943	0.0297412630	3.5258998871
